Month, 5 Year , 10 Year , 30 Year  , 50 Year 
01/04/1998, 5.91 , 5.70 , 5.71 ,
01/05/1998, 5.82 , 5.57 , 5.55 ,
01/06/1998, 6.17 , 5.64 , 5.43 ,
01/07/1998, 6.06 , 5.57 , 5.38 ,
01/08/1998, 5.52 , 5.19 , 5.11 ,
01/09/1998, 5.00 , 4.80 , 4.77 ,
01/10/1998, 4.98 , 4.96 , 5.00 ,
01/11/1998, 4.71 , 4.59 , 4.60 ,
01/12/1998, 4.40 , 4.30 , 4.36 ,
01/01/1999, 4.30 , 4.24 , 4.32 ,
01/02/1999, 4.45 , 4.39 , 4.42 ,
01/03/1999, 4.70 , 4.60 , 4.55 ,
01/04/1999, 4.67 , 4.49 , 4.47 ,
01/05/1999, 4.93 , 4.77 , 4.71 ,
01/06/1999, 5.26 , 5.03 , 4.97 ,
01/07/1999, 5.48 , 5.20 , 4.71 ,
01/08/1999, 5.69 , 5.25 , 4.63 ,
01/09/1999, 5.96 , 5.52 , 4.77 ,
01/10/1999, 6.24 , 5.70 , 4.74 ,
01/11/1999, 5.89 , 5.16 , 4.23 ,
01/12/1999, 5.95 , 5.28 , 4.41 ,
01/01/2000, 6.35 , 5.74 , 4.69 ,
01/02/2000, 6.22 , 5.55 , 4.57 ,
01/03/2000, 6.00 , 5.27 , 4.40 ,
01/04/2000, 5.94 , 5.23 , 4.50 ,
01/05/2000, 5.90 , 5.35 , 4.46 ,
01/06/2000, 5.77 , 5.14 , 4.46 ,
01/07/2000, 5.73 , 5.17 , 4.35 ,
01/08/2000, 5.80 , 5.25 , 4.44 ,
01/09/2000, 5.79 , 5.31 , 4.57 ,
01/10/2000, 5.64 , 5.14 , 4.58 ,
01/11/2000, 5.48 , 5.05 , 4.44 ,
01/12/2000, 5.29 , 4.89 , 4.34 ,
01/01/2001, 5.19 , 4.88 , 4.29 ,
01/02/2001, 5.15 , 4.89 , 4.37 ,
01/03/2001, 4.95 , 4.77 , 4.40 ,
01/04/2001, 5.01 , 4.90 , 4.68 ,
01/05/2001, 5.20 , 5.06 , 4.80 ,
01/06/2001, 5.31 , 5.13 , 4.94 ,
01/07/2001, 5.32 , 5.13 , 4.84 ,
01/08/2001, 5.08 , 4.90 , 4.59 ,
01/09/2001, 4.93 , 4.91 , 4.74 ,
01/10/2001, 4.77 , 4.76 , 4.63 ,
01/11/2001, 4.58 , 4.58 , 4.34 ,
01/12/2001, 4.91 , 4.85 , 4.55 ,
01/01/2002, 4.96 , 4.90 , 4.61 ,
01/02/2002, 4.98 , 4.93 , 4.63 ,
01/03/2002, 5.28 , 5.22 , 4.91 ,
01/04/2002, 5.27 , 5.21 , 4.96 ,
01/05/2002, 5.27 , 5.25 , 5.03 ,
01/06/2002, 5.10 , 5.07 , 4.88 ,
01/07/2002, 4.92 , 4.95 , 4.76 ,
01/08/2002, 4.57 , 4.66 , 4.51 ,
01/09/2002, 4.33 , 4.45 , 4.32 ,
01/10/2002, 4.39 , 4.57 , 4.47 ,
01/11/2002, 4.41 , 4.59 , 4.53 ,
