Date,Price,Change %
"Dec 14, 2022",4.015,-1.16%
"Dec 13, 2022",4.062,1.73%
"Dec 12, 2022",3.993,-0.19%
"Dec 11, 2022",4.001,0.00%
"Dec 09, 2022",4.001,-0.10%
"Dec 08, 2022",4.005,0.23%
"Dec 07, 2022",3.996,0.02%
"Dec 06, 2022",3.995,-0.38%
"Dec 05, 2022",4.01,-0.95%
"Dec 02, 2022",4.049,1.56%
"Dec 01, 2022",3.987,-1.75%
"Nov 30, 2022",4.058,0.99%
"Nov 29, 2022",4.018,-2.04%
"Nov 28, 2022",4.102,0.68%
"Nov 27, 2022",4.074,-0.20%
"Nov 25, 2022",4.082,1.34%
"Nov 24, 2022",4.028,-0.13%
"Nov 23, 2022",4.034,-1.53%
"Nov 22, 2022",4.096,-1.49%
"Nov 21, 2022",4.158,-0.44%
"Nov 20, 2022",4.176,0.00%
"Nov 18, 2022",4.176,1.29%
"Nov 17, 2022",4.123,1.41%
"Nov 16, 2022",4.066,-0.41%
"Nov 15, 2022",4.083,-2.52%
"Nov 14, 2022",4.189,0.00%
"Nov 12, 2022",4.188,0.00%
"Nov 11, 2022",4.188,0.89%
"Nov 10, 2022",4.151,-3.52%
"Nov 09, 2022",4.303,-2.20%
"Nov 08, 2022",4.4,-0.83%
"Nov 07, 2022",4.437,1.89%
"Nov 06, 2022",4.354,-0.09%
"Nov 04, 2022",4.358,-0.71%
"Nov 03, 2022",4.389,0.65%
"Nov 02, 2022",4.36,-1.95%
"Nov 01, 2022",4.447,-0.76%
"Oct 31, 2022",4.481,1.02%
"Oct 30, 2022",4.436,0.00%
"Oct 28, 2022",4.436,0.33%
"Oct 27, 2022",4.421,-1.38%
"Oct 26, 2022",4.483,-2.37%
"Oct 25, 2022",4.592,-1.10%
"Oct 24, 2022",4.643,-6.81%
"Oct 22, 2022",4.982,0.00%
"Oct 21, 2022",4.983,3.72%
"Oct 20, 2022",4.804,-0.74%
"Oct 19, 2022",4.84,-0.68%
"Oct 18, 2022",4.873,-0.85%
"Oct 17, 2022",4.915,-7.83%
"Oct 14, 2022",5.332,2.12%
"Oct 13, 2022",5.221,-4.69%
"Oct 12, 2022",5.478,-0.93%
"Oct 11, 2022",5.529,1.27%
"Oct 10, 2022",5.46,2.64%
"Oct 07, 2022",5.32,1.50%
"Oct 06, 2022",5.241,3.54%
"Oct 05, 2022",5.062,1.39%
"Oct 04, 2022",4.992,-2.15%
"Oct 03, 2022",5.102,-4.21%
"Sep 30, 2022",5.327,2.77%
"Sep 29, 2022",5.183,2.03%
"Sep 28, 2022",5.08,-8.80%
"Sep 27, 2022",5.57,4.28%
"Sep 26, 2022",5.341,11.28%
"Sep 25, 2022",4.8,0.00%
"Sep 23, 2022",4.8,10.71%
"Sep 22, 2022",4.336,3.63%
"Sep 21, 2022",4.184,1.63%
"Sep 20, 2022",4.117,5.56%
"Sep 19, 2022",3.9,0.00%
"Sep 18, 2022",3.9,-0.71%
"Sep 16, 2022",3.928,-0.53%
"Sep 15, 2022",3.949,1.37%
"Sep 14, 2022",3.895,1.23%
"Sep 13, 2022",3.848,1.73%
"Sep 12, 2022",3.783,-0.65%
"Sep 10, 2022",3.807,0.00%
"Sep 09, 2022",3.807,0.54%
"Sep 08, 2022",3.787,0.72%
"Sep 07, 2022",3.76,-2.78%
"Sep 06, 2022",3.868,3.83%
"Sep 05, 2022",3.725,1.83%
"Sep 04, 2022",3.658,0.00%
"Sep 03, 2022",3.658,0.00%
"Sep 02, 2022",3.658,0.33%
"Sep 01, 2022",3.646,0.25%
"Aug 31, 2022",3.637,1.28%
"Aug 30, 2022",3.591,1.40%
"Aug 29, 2022",3.541,0.00%
