Date,Percent,Price,Yield
31/12/2021,0.82%,13.915,0.820
03/01/2022,0.82%,13.915,0.820
04/01/2022,0.91%,13.7575,0.910
05/01/2022,0.92%,13.775,0.920
06/01/2022,0.98%,13.655,0.980
07/01/2022,1.00%,13.625,1.000
10/01/2022,1.02%,13.6,1.020
11/01/2022,1.01%,13.67,1.010
12/01/2022,0.98%,13.69,0.980
13/01/2022,0.94%,13.735,0.940
14/01/2022,0.97%,13.69,0.970
17/01/2022,1.00%,13.6125,1.000
18/01/2022,1.03%,13.565,1.030
19/01/2022,1.06%,13.4925,1.060
20/01/2022,1.04%,13.54,1.040
21/01/2022,1.00%,13.6125,1.000
24/01/2022,0.97%,13.69,0.970
25/01/2022,1.00%,13.655,1.000
26/01/2022,1.03%,13.575,1.030
27/01/2022,1.07%,13.52,1.070
28/01/2022,1.07%,13.515,1.070
31/01/2022,1.14%,13.3875,1.140
01/02/2022,1.14%,13.415,1.140
02/02/2022,1.11%,13.5225,1.110
03/02/2022,1.23%,13.345,1.230
04/02/2022,1.32%,13.29,1.320
07/02/2022,1.31%,13.2725,1.310
08/02/2022,1.38%,13.1475,1.380
09/02/2022,1.32%,13.24,1.320
10/02/2022,1.42%,13.095,1.420
11/02/2022,1.44%,13.07,1.440
14/02/2022,1.51%,13.0325,1.510
15/02/2022,1.54%,13.08,1.540
16/02/2022,1.42%,13.1375,1.420
17/02/2022,1.36%,13.1925,1.360
18/02/2022,1.29%,13.31,1.290
21/02/2022,1.31%,13.30375,1.310
22/02/2022,1.36%,13.2025,1.360
23/02/2022,1.34%,13.18875,1.340
24/02/2022,1.30%,13.1775,1.300
25/02/2022,1.26%,13.13,1.260
28/02/2022,1.09%,13.2025,1.090
01/03/2022,0.83%,13.65,0.830
02/03/2022,1.07%,13.415,1.070
03/03/2022,1.12%,13.31375,1.120
04/03/2022,1.04%,13.4625,1.040
07/03/2022,1.14%,13.32,1.140
08/03/2022,1.29%,13.14875,1.290
09/03/2022,1.39%,13.075,1.390
10/03/2022,1.33%,13.035,1.330
11/03/2022,1.31%,13.055,1.310
14/03/2022,1.40%,12.91125,1.400
15/03/2022,1.39%,12.975,1.390
16/03/2022,1.44%,12.885,1.440
17/03/2022,1.35%,12.94,1.350
18/03/2022,1.27%,13.015,1.270
21/03/2022,1.41%,12.845,1.410
22/03/2022,1.51%,12.77,1.510
23/03/2022,1.44%,12.845,1.440
24/03/2022,1.46%,12.85,1.460
25/03/2022,1.48%,12.795,1.480
28/03/2022,1.42%,12.925,1.420
29/03/2022,1.42%,12.875,1.420
30/03/2022,1.44%,12.87,1.440
31/03/2022,1.40%,12.915,1.400
01/04/2022,1.42%,12.955,1.420
04/04/2022,1.39%,13.0475,1.390
05/04/2022,1.48%,12.95,1.480
06/04/2022,1.51%,12.84,1.510
07/04/2022,1.52%,12.8,1.520
08/04/2022,1.53%,12.765,1.530
11/04/2022,1.62%,12.64,1.620
12/04/2022,1.57%,12.685,1.570
13/04/2022,1.56%,12.67,1.560
14/04/2022,1.63%,12.56,1.630
15/04/2022,1.63%,12.56,1.630
18/04/2022,1.63%,12.56,1.630
19/04/2022,1.68%,12.44,1.680
20/04/2022,1.65%,12.525,1.650
21/04/2022,1.80%,12.46,1.800
22/04/2022,1.76%,12.545,1.760
25/04/2022,1.62%,12.67,1.620
26/04/2022,1.58%,12.75,1.580
27/04/2022,1.57%,12.6925,1.570
28/04/2022,1.63%,12.605,1.630
29/04/2022,1.67%,12.56,1.670
03/05/2022,1.72%,12.51,1.720
04/05/2022,1.72%,12.495,1.720
05/05/2022,1.67%,12.475,1.670
06/05/2022,1.66%,12.425,1.660
09/05/2022,1.58%,12.46,1.580
10/05/2022,1.48%,12.61,1.480
11/05/2022,1.45%,12.54,1.450
12/05/2022,1.30%,12.69,1.300
13/05/2022,1.39%,12.6425,1.390
16/05/2022,1.36%,12.6625,1.360
17/05/2022,1.56%,12.475,1.560
18/05/2022,1.58%,12.495,1.580
19/05/2022,1.59%,12.50625,1.590
20/05/2022,1.60%,12.4525,1.600
23/05/2022,1.67%,12.365,1.670
24/05/2022,1.56%,12.48,1.560
25/05/2022,1.56%,12.415,1.560
26/05/2022,1.60%,12.335,1.600
27/05/2022,1.57%,12.405,1.570
30/05/2022,1.61%,12.29875,1.610
31/05/2022,1.69%,12.145,1.690
01/06/2022,1.77%,12.115,1.770
02/06/2022,1.77%,12.115,1.770
03/06/2022,1.77%,12.115,1.770
06/06/2022,1.86%,11.9875,1.860
07/06/2022,1.84%,12.0725,1.840
08/06/2022,1.88%,12.02375,1.880
09/06/2022,1.96%,11.97,1.960
10/06/2022,2.15%,11.84,2.150
13/06/2022,2.23%,11.785,2.230
14/06/2022,2.23%,11.68,2.230
15/06/2022,2.07%,11.8,2.070
16/06/2022,2.17%,11.7525,2.170
17/06/2022,2.21%,11.74,2.210
20/06/2022,2.30%,11.585,2.300
21/06/2022,2.33%,11.53,2.330
22/06/2022,2.17%,11.705,2.170
23/06/2022,1.96%,11.89,1.960
24/06/2022,1.95%,11.9275,1.950
27/06/2022,2.03%,11.80875,2.030
28/06/2022,2.14%,11.69,2.140
29/06/2022,2.07%,11.80125,2.070
30/06/2022,1.89%,11.89,1.890
01/07/2022,1.73%,12.1,1.730
04/07/2022,1.86%,11.92875,1.860
05/07/2022,1.71%,12.06,1.710
06/07/2022,1.75%,12,1.750
07/07/2022,1.81%,11.9875,1.810
08/07/2022,1.91%,11.86375,1.910
11/07/2022,1.86%,11.905,1.860
12/07/2022,1.75%,11.96,1.750
13/07/2022,1.76%,12.015,1.760
14/07/2022,1.83%,11.98,1.830
15/07/2022,1.80%,11.955,1.800
18/07/2022,1.87%,11.8675,1.870
19/07/2022,1.91%,11.815,1.910
20/07/2022,1.92%,11.855,1.920
21/07/2022,1.85%,12,1.850
22/07/2022,1.70%,12.13,1.700
25/07/2022,1.69%,12.065,1.690
26/07/2022,1.68%,12.11,1.680
27/07/2022,1.73%,12.0475,1.730
28/07/2022,1.60%,12.21,1.600
29/07/2022,1.59%,12.23,1.590
01/08/2022,1.55%,12.37,1.550
02/08/2022,1.63%,12.365,1.630
03/08/2022,1.72%,12.265,1.720
04/08/2022,1.72%,12.3,1.720
05/08/2022,1.87%,12.10375,1.870
08/08/2022,1.78%,12.225,1.780
09/08/2022,1.81%,12.22,1.810
10/08/2022,1.80%,12.22,1.800
11/08/2022,1.88%,12.08,1.880
12/08/2022,1.93%,12.005,1.930
15/08/2022,1.86%,12.125,1.860
16/08/2022,1.97%,12.005,1.970
17/08/2022,2.14%,11.86,2.140
18/08/2022,2.19%,11.845,2.190
19/08/2022,2.27%,11.71,2.270
22/08/2022,2.38%,11.5925,2.380
23/08/2022,2.50%,11.535,2.500
24/08/2022,2.70%,11.445,2.700
25/08/2022,2.57%,11.5,2.570
26/08/2022,2.56%,11.515,2.560
29/08/2022,2.56%,11.515,2.560
30/08/2022,2.67%,11.41,2.670
31/08/2022,2.76%,11.28,2.760
01/09/2022,2.82%,11.1475,2.820
02/09/2022,2.85%,11.0925,2.850
05/09/2022,2.92%,11.15,2.920
06/09/2022,3.02%,11.01,3.020
07/09/2022,2.91%,11.03,2.910
08/09/2022,3.02%,10.885,3.020
09/09/2022,2.98%,10.9225,2.980
12/09/2022,2.99%,10.9775,2.990
13/09/2022,3.10%,10.92,3.100
14/09/2022,3.07%,10.975,3.070
15/09/2022,3.12%,10.92125,3.120
16/09/2022,3.11%,10.92,3.110
20/09/2022,3.30%,10.78,3.300
21/09/2022,3.37%,10.785,3.370
22/09/2022,3.56%,10.57,3.560
23/09/2022,4.06%,10.29,4.060
26/09/2022,4.58%,9.98,4.580
27/09/2022,4.70%,9.5625,4.700
28/09/2022,4.29%,10.25,4.290
29/09/2022,4.42%,10.24,4.420
30/09/2022,4.40%,10.41,4.400
03/10/2022,4.21%,10.3875,4.210
04/10/2022,4.10%,10.305,4.100
05/10/2022,4.24%,10.175,4.240
06/10/2022,4.36%,10.035,4.360
07/10/2022,4.41%,9.955,4.410
10/10/2022,4.61%,9.71,4.610
11/10/2022,4.54%,9.7375,4.540
12/10/2022,4.45%,9.7275,4.450
13/10/2022,4.23%,9.9025,4.230
14/10/2022,4.36%,9.7725,4.360
17/10/2022,3.91%,10.135,3.910
18/10/2022,3.87%,10.1875,3.870
19/10/2022,3.86%,10.38,3.860
20/10/2022,3.95%,10.38,3.950
21/10/2022,4.11%,10.195,4.110
24/10/2022,3.80%,10.5,3.800
25/10/2022,3.73%,10.595,3.730
26/10/2022,3.66%,10.64,3.660
27/10/2022,3.47%,10.795,3.470
28/10/2022,3.57%,10.765,3.570
31/10/2022,3.61%,10.695,3.610
01/11/2022,3.49%,10.755,3.490
02/11/2022,3.35%,10.79,3.350
03/11/2022,3.42%,10.675,3.420
04/11/2022,3.40%,10.63,3.400
07/11/2022,3.50%,10.56,3.500
08/11/2022,3.49%,10.6475,3.490
09/11/2022,3.45%,10.785,3.450
10/11/2022,3.31%,10.98,3.310
11/11/2022,3.35%,10.875,3.350
14/11/2022,3.34%,10.875,3.340
15/11/2022,3.31%,10.945,3.310
16/11/2022,3.18%,11.1025,3.180
17/11/2022,3.24%,10.9525,3.240
18/11/2022,3.29%,10.93,3.290
21/11/2022,3.27%,11,3.270
22/11/2022,3.21%,10.995,3.210
23/11/2022,3.17%,11.1375,3.170
24/11/2022,3.21%,11.065,3.210
25/11/2022,3.28%,10.995,3.280
28/11/2022,3.26%,10.98,3.260
29/11/2022,3.21%,11,3.210
30/11/2022,3.27%,10.925,3.270
01/12/2022,3.20%,10.98,3.200
02/12/2022,3.26%,10.895,3.260
05/12/2022,3.23%,10.95,3.230
06/12/2022,3.24%,10.98,3.240
07/12/2022,3.18%,10.96,3.180
08/12/2022,3.20%,10.93,3.200
09/12/2022,3.26%,10.845,3.260
12/12/2022,3.27%,10.785,3.270
13/12/2022,3.35%,10.705,3.350
14/12/2022,3.28%,10.7,3.280
15/12/2022,3.21%,10.78,3.210
16/12/2022,3.30%,10.705,3.300
19/12/2022,3.47%,10.585,3.470
20/12/2022,3.57%,10.5,3.570
21/12/2022,3.57%,10.545,3.570
22/12/2022,3.62%,10.5225,3.620
23/12/2022,3.64%,10.51,3.640
26/12/2022,3.64%,10.51,3.640
27/12/2022,3.64%,10.51,3.640
28/12/2022,3.63%,10.475,3.630
29/12/2022,3.62%,10.475,3.620
30/12/2022,3.62%,10.49,3.620
