SDR Valuations,,SDR_Value
02/01/1981,U.K. pound,0.071
05/01/1981,U.K. pound,0.071
06/01/1981,U.K. pound,0.071
07/01/1981,U.K. pound,0.071
08/01/1981,U.K. pound,0.071
09/01/1981,U.K. pound,0.071
12/01/1981,U.K. pound,0.071
13/01/1981,U.K. pound,0.071
14/01/1981,U.K. pound,0.071
15/01/1981,U.K. pound,0.071
16/01/1981,U.K. pound,0.071
19/01/1981,U.K. pound,0.071
20/01/1981,U.K. pound,0.071
21/01/1981,U.K. pound,0.071
22/01/1981,U.K. pound,0.071
23/01/1981,U.K. pound,0.071
26/01/1981,U.K. pound,0.071
27/01/1981,U.K. pound,0.071
28/01/1981,U.K. pound,0.071
29/01/1981,U.K. pound,0.071
30/01/1981,U.K. pound,0.071
02/02/1981,U.K. pound,0.071
03/02/1981,U.K. pound,0.071
04/02/1981,U.K. pound,0.071
05/02/1981,U.K. pound,0.071
06/02/1981,U.K. pound,0.071
09/02/1981,U.K. pound,0.071
10/02/1981,U.K. pound,0.071
11/02/1981,U.K. pound,0.071
12/02/1981,U.K. pound,0.071
13/02/1981,U.K. pound,0.071
16/02/1981,U.K. pound,0.071
17/02/1981,U.K. pound,0.071
18/02/1981,U.K. pound,0.071
19/02/1981,U.K. pound,0.071
20/02/1981,U.K. pound,0.071
23/02/1981,U.K. pound,0.071
24/02/1981,U.K. pound,0.071
25/02/1981,U.K. pound,0.071
26/02/1981,U.K. pound,0.071
27/02/1981,U.K. pound,0.071
02/03/1981,U.K. pound,0.071
03/03/1981,U.K. pound,0.071
04/03/1981,U.K. pound,0.071
05/03/1981,U.K. pound,0.071
06/03/1981,U.K. pound,0.071
09/03/1981,U.K. pound,0.071
10/03/1981,U.K. pound,0.071
11/03/1981,U.K. pound,0.071
12/03/1981,U.K. pound,0.071
13/03/1981,U.K. pound,0.071
16/03/1981,U.K. pound,0.071
17/03/1981,U.K. pound,0.071
18/03/1981,U.K. pound,0.071
19/03/1981,U.K. pound,0.071
20/03/1981,U.K. pound,0.071
23/03/1981,U.K. pound,0.071
24/03/1981,U.K. pound,0.071
25/03/1981,U.K. pound,0.071
26/03/1981,U.K. pound,0.071
27/03/1981,U.K. pound,0.071
30/03/1981,U.K. pound,0.071
31/03/1981,U.K. pound,0.071
01/04/1981,U.K. pound,0.071
02/04/1981,U.K. pound,0.071
03/04/1981,U.K. pound,0.071
06/04/1981,U.K. pound,0.071
07/04/1981,U.K. pound,0.071
08/04/1981,U.K. pound,0.071
09/04/1981,U.K. pound,0.071
10/04/1981,U.K. pound,0.071
13/04/1981,U.K. pound,0.071
14/04/1981,U.K. pound,0.071
15/04/1981,U.K. pound,0.071
16/04/1981,U.K. pound,0.071
17/04/1981,U.K. pound,0.071
20/04/1981,U.K. pound,0.071
21/04/1981,U.K. pound,0.071
22/04/1981,U.K. pound,0.071
23/04/1981,U.K. pound,0.071
24/04/1981,U.K. pound,0.071
27/04/1981,U.K. pound,0.071
28/04/1981,U.K. pound,0.071
29/04/1981,U.K. pound,0.071
30/04/1981,U.K. pound,0.071
01/05/1981,U.K. pound,0.071
04/05/1981,U.K. pound,0.071
05/05/1981,U.K. pound,0.071
06/05/1981,U.K. pound,0.071
07/05/1981,U.K. pound,0.071
08/05/1981,U.K. pound,0.071
11/05/1981,U.K. pound,0.071
12/05/1981,U.K. pound,0.071
13/05/1981,U.K. pound,0.071
14/05/1981,U.K. pound,0.071
15/05/1981,U.K. pound,0.071
18/05/1981,U.K. pound,0.071
19/05/1981,U.K. pound,0.071
20/05/1981,U.K. pound,0.071
21/05/1981,U.K. pound,0.071
22/05/1981,U.K. pound,0.071
26/05/1981,U.K. pound,0.071
27/05/1981,U.K. pound,0.071
28/05/1981,U.K. pound,0.071
29/05/1981,U.K. pound,0.071
01/06/1981,U.K. pound,0.071
02/06/1981,U.K. pound,0.071
03/06/1981,U.K. pound,0.071
04/06/1981,U.K. pound,0.071
05/06/1981,U.K. pound,0.071
08/06/1981,U.K. pound,0.071
09/06/1981,U.K. pound,0.071
10/06/1981,U.K. pound,0.071
11/06/1981,U.K. pound,0.071
12/06/1981,U.K. pound,0.071
15/06/1981,U.K. pound,0.071
16/06/1981,U.K. pound,0.071
17/06/1981,U.K. pound,0.071
18/06/1981,U.K. pound,0.071
19/06/1981,U.K. pound,0.071
22/06/1981,U.K. pound,0.071
23/06/1981,U.K. pound,0.071
24/06/1981,U.K. pound,0.071
25/06/1981,U.K. pound,0.071
26/06/1981,U.K. pound,0.071
29/06/1981,U.K. pound,0.071
30/06/1981,U.K. pound,0.071
01/07/1981,U.K. pound,0.071
02/07/1981,U.K. pound,0.071
03/07/1981,U.K. pound,0.071
06/07/1981,U.K. pound,0.071
07/07/1981,U.K. pound,0.071
08/07/1981,U.K. pound,0.071
09/07/1981,U.K. pound,0.071
10/07/1981,U.K. pound,0.071
13/07/1981,U.K. pound,0.071
14/07/1981,U.K. pound,0.071
15/07/1981,U.K. pound,0.071
16/07/1981,U.K. pound,0.071
17/07/1981,U.K. pound,0.071
20/07/1981,U.K. pound,0.071
21/07/1981,U.K. pound,0.071
22/07/1981,U.K. pound,0.071
23/07/1981,U.K. pound,0.071
24/07/1981,U.K. pound,0.071
27/07/1981,U.K. pound,0.071
28/07/1981,U.K. pound,0.071
29/07/1981,U.K. pound,0.071
30/07/1981,U.K. pound,0.071
31/07/1981,U.K. pound,0.071
03/08/1981,U.K. pound,0.071
04/08/1981,U.K. pound,0.071
05/08/1981,U.K. pound,0.071
06/08/1981,U.K. pound,0.071
07/08/1981,U.K. pound,0.071
10/08/1981,U.K. pound,0.071
11/08/1981,U.K. pound,0.071
12/08/1981,U.K. pound,0.071
13/08/1981,U.K. pound,0.071
14/08/1981,U.K. pound,0.071
17/08/1981,U.K. pound,0.071
18/08/1981,U.K. pound,0.071
19/08/1981,U.K. pound,0.071
20/08/1981,U.K. pound,0.071
21/08/1981,U.K. pound,0.071
24/08/1981,U.K. pound,0.071
25/08/1981,U.K. pound,0.071
26/08/1981,U.K. pound,0.071
27/08/1981,U.K. pound,0.071
28/08/1981,U.K. pound,0.071
31/08/1981,U.K. pound,0.071
01/09/1981,U.K. pound,0.071
02/09/1981,U.K. pound,0.071
03/09/1981,U.K. pound,0.071
04/09/1981,U.K. pound,0.071
07/09/1981,U.K. pound,0.071
08/09/1981,U.K. pound,0.071
09/09/1981,U.K. pound,0.071
10/09/1981,U.K. pound,0.071
11/09/1981,U.K. pound,0.071
14/09/1981,U.K. pound,0.071
15/09/1981,U.K. pound,0.071
16/09/1981,U.K. pound,0.071
17/09/1981,U.K. pound,0.071
18/09/1981,U.K. pound,0.071
21/09/1981,U.K. pound,0.071
22/09/1981,U.K. pound,0.071
23/09/1981,U.K. pound,0.071
24/09/1981,U.K. pound,0.071
25/09/1981,U.K. pound,0.071
28/09/1981,U.K. pound,0.071
29/09/1981,U.K. pound,0.071
30/09/1981,U.K. pound,0.071
01/10/1981,U.K. pound,0.071
02/10/1981,U.K. pound,0.071
05/10/1981,U.K. pound,0.071
06/10/1981,U.K. pound,0.071
07/10/1981,U.K. pound,0.071
08/10/1981,U.K. pound,0.071
09/10/1981,U.K. pound,0.071
12/10/1981,U.K. pound,0.071
13/10/1981,U.K. pound,0.071
14/10/1981,U.K. pound,0.071
15/10/1981,U.K. pound,0.071
16/10/1981,U.K. pound,0.071
19/10/1981,U.K. pound,0.071
20/10/1981,U.K. pound,0.071
21/10/1981,U.K. pound,0.071
22/10/1981,U.K. pound,0.071
23/10/1981,U.K. pound,0.071
26/10/1981,U.K. pound,0.071
27/10/1981,U.K. pound,0.071
28/10/1981,U.K. pound,0.071
29/10/1981,U.K. pound,0.071
30/10/1981,U.K. pound,0.071
02/11/1981,U.K. pound,0.071
03/11/1981,U.K. pound,0.071
04/11/1981,U.K. pound,0.071
05/11/1981,U.K. pound,0.071
06/11/1981,U.K. pound,0.071
09/11/1981,U.K. pound,0.071
10/11/1981,U.K. pound,0.071
11/11/1981,U.K. pound,0.071
12/11/1981,U.K. pound,0.071
13/11/1981,U.K. pound,0.071
16/11/1981,U.K. pound,0.071
17/11/1981,U.K. pound,0.071
18/11/1981,U.K. pound,0.071
19/11/1981,U.K. pound,0.071
20/11/1981,U.K. pound,0.071
23/11/1981,U.K. pound,0.071
24/11/1981,U.K. pound,0.071
25/11/1981,U.K. pound,0.071
26/11/1981,U.K. pound,0.071
27/11/1981,U.K. pound,0.071
30/11/1981,U.K. pound,0.071
01/12/1981,U.K. pound,0.071
02/12/1981,U.K. pound,0.071
03/12/1981,U.K. pound,0.071
04/12/1981,U.K. pound,0.071
07/12/1981,U.K. pound,0.071
