code,date,value,,,,
VIX,02/01/1990,17.24,,,,
VIX,03/01/1990,18.19,,,,
VIX,04/01/1990,19.22,,,,
VIX,05/01/1990,20.11,,,,
VIX,08/01/1990,20.26,,,,
VIX,09/01/1990,22.2,,,,
VIX,10/01/1990,22.44,,,,
VIX,11/01/1990,20.05,,,,
VIX,12/01/1990,24.64,,,,
VIX,15/01/1990,26.34,,,,
VIX,16/01/1990,24.18,,,,
VIX,17/01/1990,24.16,,,,
VIX,18/01/1990,24.34,,,,
VIX,19/01/1990,22.5,,,,
VIX,22/01/1990,26.7,,,,
VIX,23/01/1990,24.72,,,,
VIX,24/01/1990,25.39,,,,
VIX,25/01/1990,25.63,,,,
VIX,26/01/1990,26.28,,,,
VIX,29/01/1990,26.44,,,,
VIX,30/01/1990,27.25,,,,
VIX,31/01/1990,25.36,,,,
VIX,01/02/1990,24.87,,,,
VIX,02/02/1990,24.32,,,,
VIX,05/02/1990,24.54,,,,
VIX,06/02/1990,24.69,,,,
VIX,07/02/1990,24.29,,,,
VIX,08/02/1990,23.77,,,,
VIX,09/02/1990,23.69,,,,
VIX,12/02/1990,24.38,,,,
VIX,13/02/1990,23.76,,,,
VIX,14/02/1990,22.05,,,,
VIX,15/02/1990,19.71,,,,
VIX,16/02/1990,20.78,,,,
VIX,19/02/1990,.,,,,
VIX,20/02/1990,22.78,,,,
VIX,21/02/1990,23.89,,,,
VIX,22/02/1990,22.54,,,,
VIX,23/02/1990,23.69,,,,
VIX,26/02/1990,23.56,,,,
VIX,27/02/1990,22.69,,,,
VIX,28/02/1990,21.99,,,,
VIX,01/03/1990,21.9,,,,
VIX,02/03/1990,21.34,,,,
VIX,05/03/1990,22.03,,,,
VIX,06/03/1990,20.55,,,,
VIX,07/03/1990,19.1,,,,
VIX,08/03/1990,19.74,,,,
VIX,09/03/1990,20.3,,,,
VIX,12/03/1990,20.07,,,,
VIX,13/03/1990,21.05,,,,
VIX,14/03/1990,19.65,,,,
VIX,15/03/1990,18.81,,,,
VIX,16/03/1990,17.62,,,,
VIX,19/03/1990,18.29,,,,
VIX,20/03/1990,19.06,,,,
VIX,21/03/1990,20.1,,,,
VIX,22/03/1990,22.74,,,,
VIX,23/03/1990,20.46,,,,
VIX,26/03/1990,19.59,,,,
VIX,27/03/1990,21.01,,,,
VIX,28/03/1990,19.77,,,,
VIX,29/03/1990,18.46,,,,
VIX,30/03/1990,19.73,,,,
VIX,02/04/1990,22.84,,,,
VIX,03/04/1990,20.44,,,,
VIX,04/04/1990,22.03,,,,
VIX,05/04/1990,21.21,,,,
VIX,06/04/1990,21.76,,,,
VIX,09/04/1990,22.3,,,,
VIX,10/04/1990,21.69,,,,
VIX,11/04/1990,17.73,,,,
VIX,12/04/1990,19.8,,,,
VIX,13/04/1990,.,,,,
VIX,16/04/1990,20.75,,,,
VIX,17/04/1990,20.38,,,,
VIX,18/04/1990,22.67,,,,
VIX,19/04/1990,22.46,,,,
VIX,20/04/1990,23.33,,,,
VIX,23/04/1990,24.16,,,,
VIX,24/04/1990,21.7,,,,
VIX,25/04/1990,20.86,,,,
VIX,26/04/1990,20.25,,,,
VIX,27/04/1990,22.19,,,,
VIX,30/04/1990,19.52,,,,
VIX,01/05/1990,18.43,,,,
VIX,02/05/1990,19.32,,,,
VIX,03/05/1990,17.81,,,,
VIX,04/05/1990,17.28,,,,
VIX,07/05/1990,17.65,,,,
VIX,08/05/1990,18.49,,,,
VIX,09/05/1990,18.64,,,,
VIX,10/05/1990,18.59,,,,
VIX,11/05/1990,19.81,,,,
VIX,14/05/1990,20.14,,,,
VIX,15/05/1990,19.49,,,,
VIX,16/05/1990,17.71,,,,
VIX,17/05/1990,17.27,,,,
VIX,18/05/1990,17.2,,,,
VIX,21/05/1990,16.72,,,,
VIX,22/05/1990,17.84,,,,
VIX,23/05/1990,17.18,,,,
VIX,24/05/1990,17.7,,,,
VIX,25/05/1990,17.32,,,,
VIX,28/05/1990,.,,,,
VIX,29/05/1990,18.75,,,,
VIX,30/05/1990,17.44,,,,
VIX,31/05/1990,17.37,,,,
VIX,01/06/1990,17.09,,,,
VIX,04/06/1990,18.39,,,,
VIX,05/06/1990,18.97,,,,
VIX,06/06/1990,17.42,,,,
VIX,07/06/1990,16.88,,,,
VIX,08/06/1990,17.58,,,,
VIX,11/06/1990,16.34,,,,
VIX,12/06/1990,16.6,,,,
VIX,13/06/1990,17.38,,,,
VIX,14/06/1990,17.4,,,,
VIX,15/06/1990,15.9,,,,
VIX,18/06/1990,17.71,,,,
VIX,19/06/1990,15.23,,,,
VIX,20/06/1990,15.27,,,,
VIX,21/06/1990,14.72,,,,
VIX,22/06/1990,19.36,,,,
VIX,25/06/1990,17.06,,,,
VIX,26/06/1990,16.29,,,,
VIX,27/06/1990,16,,,,
VIX,28/06/1990,16.18,,,,
VIX,29/06/1990,15.5,,,,
VIX,02/07/1990,16.26,,,,
VIX,03/07/1990,16.11,,,,
VIX,04/07/1990,.,,,,
VIX,05/07/1990,17.25,,,,
VIX,06/07/1990,16.41,,,,
VIX,09/07/1990,16.66,,,,
VIX,10/07/1990,16.92,,,,
VIX,11/07/1990,16.68,,,,
VIX,12/07/1990,17.06,,,,
VIX,13/07/1990,17.09,,,,
VIX,16/07/1990,16.75,,,,
VIX,17/07/1990,16.66,,,,
VIX,18/07/1990,18.9,,,,
VIX,19/07/1990,18.56,,,,
VIX,20/07/1990,15.63,,,,
VIX,23/07/1990,23.68,,,,
VIX,24/07/1990,21.79,,,,
VIX,25/07/1990,20.19,,,,
VIX,26/07/1990,20.26,,,,
VIX,27/07/1990,21.12,,,,
VIX,30/07/1990,21.16,,,,
VIX,31/07/1990,21.11,,,,
VIX,01/08/1990,21.64,,,,
VIX,02/08/1990,20.43,,,,
VIX,03/08/1990,28.74,,,,
VIX,06/08/1990,35.91,,,,
VIX,07/08/1990,32.75,,,,
