date,value
02/01/2019,23.22
03/01/2019,25.45
04/01/2019,21.38
07/01/2019,21.4
08/01/2019,20.47
09/01/2019,19.98
10/01/2019,19.5
11/01/2019,18.19
14/01/2019,19.07
15/01/2019,18.6
16/01/2019,19.04
17/01/2019,18.06
18/01/2019,17.8
21/01/2019,.
22/01/2019,20.8
23/01/2019,19.52
24/01/2019,18.89
25/01/2019,17.42
28/01/2019,18.87
29/01/2019,19.13
30/01/2019,17.66
31/01/2019,16.57
01/02/2019,16.14
04/02/2019,15.73
05/02/2019,15.57
06/02/2019,15.38
07/02/2019,16.37
08/02/2019,15.72
11/02/2019,15.97
12/02/2019,15.43
13/02/2019,15.65
14/02/2019,16.22
15/02/2019,14.91
18/02/2019,.
19/02/2019,14.88
20/02/2019,14.02
21/02/2019,14.46
22/02/2019,13.51
25/02/2019,14.85
26/02/2019,15.17
27/02/2019,14.7
28/02/2019,14.7
01/03/2019,13.57
04/03/2019,14.63
05/03/2019,14.74
06/03/2019,15.74
07/03/2019,16.59
08/03/2019,16.05
11/03/2019,14.33
12/03/2019,13.77
13/03/2019,13.41
14/03/2019,13.5
15/03/2019,12.88
18/03/2019,13.1
19/03/2019,13.56
20/03/2019,13.91
21/03/2019,13.63
22/03/2019,16.48
25/03/2019,16.33
26/03/2019,14.68
27/03/2019,15.15
28/03/2019,14.43
29/03/2019,13.71
01/04/2019,13.4
02/04/2019,13.36
03/04/2019,13.74
04/04/2019,13.58
05/04/2019,12.82
08/04/2019,13.18
09/04/2019,14.28
10/04/2019,13.3
11/04/2019,13.02
12/04/2019,12.01
15/04/2019,12.32
16/04/2019,12.18
17/04/2019,12.6
18/04/2019,12.09
19/04/2019,.
22/04/2019,12.42
23/04/2019,12.28
24/04/2019,13.14
25/04/2019,13.25
26/04/2019,12.73
29/04/2019,13.11
30/04/2019,13.12
01/05/2019,14.8
02/05/2019,14.42
03/05/2019,12.87
06/05/2019,15.44
07/05/2019,19.32
08/05/2019,19.4
09/05/2019,19.1
10/05/2019,16.04
13/05/2019,20.55
14/05/2019,18.06
15/05/2019,16.44
16/05/2019,15.29
17/05/2019,15.96
20/05/2019,16.31
21/05/2019,14.95
22/05/2019,14.75
23/05/2019,16.92
24/05/2019,15.85
27/05/2019,.
28/05/2019,17.5
29/05/2019,17.9
30/05/2019,17.3
31/05/2019,18.71
03/06/2019,18.86
04/06/2019,16.97
05/06/2019,16.09
06/06/2019,15.93
07/06/2019,16.3
10/06/2019,15.94
11/06/2019,15.99
12/06/2019,15.91
13/06/2019,15.82
14/06/2019,15.28
17/06/2019,15.35
18/06/2019,15.15
19/06/2019,14.33
20/06/2019,14.75
21/06/2019,15.4
24/06/2019,15.26
25/06/2019,16.28
26/06/2019,16.21
27/06/2019,15.82
28/06/2019,15.08
01/07/2019,14.06
02/07/2019,12.93
03/07/2019,12.57
04/07/2019,.
05/07/2019,13.28
08/07/2019,13.96
09/07/2019,14.09
10/07/2019,13.03
11/07/2019,12.93
12/07/2019,12.39
15/07/2019,12.68
16/07/2019,12.86
17/07/2019,13.97
18/07/2019,13.53
19/07/2019,14.45
22/07/2019,13.53
23/07/2019,12.61
24/07/2019,12.07
25/07/2019,12.74
26/07/2019,12.16
29/07/2019,12.83
30/07/2019,13.94
31/07/2019,16.12
01/08/2019,17.87
02/08/2019,17.61
05/08/2019,24.59
06/08/2019,20.17
07/08/2019,19.49
08/08/2019,16.91
09/08/2019,17.97
12/08/2019,21.09
13/08/2019,17.52
14/08/2019,22.1
15/08/2019,21.18
16/08/2019,18.47
19/08/2019,16.88
20/08/2019,17.5
21/08/2019,15.8
22/08/2019,16.68
23/08/2019,19.87
26/08/2019,19.32
27/08/2019,20.31
28/08/2019,19.35
29/08/2019,17.88
30/08/2019,18.98
02/09/2019,.
03/09/2019,19.66
04/09/2019,17.33
05/09/2019,16.27
06/09/2019,15
09/09/2019,15.27
10/09/2019,15.2
11/09/2019,14.61
12/09/2019,14.22
13/09/2019,13.74
16/09/2019,14.67
17/09/2019,14.44
18/09/2019,13.95
19/09/2019,14.05
20/09/2019,15.32
23/09/2019,14.91
24/09/2019,17.05
25/09/2019,15.96
26/09/2019,16.07
27/09/2019,17.22
30/09/2019,16.24
01/10/2019,18.56
02/10/2019,20.56
03/10/2019,19.12
04/10/2019,17.04
07/10/2019,17.86
08/10/2019,20.28
09/10/2019,18.64
10/10/2019,17.57
11/10/2019,15.58
14/10/2019,14.57
15/10/2019,13.54
16/10/2019,13.68
17/10/2019,13.79
18/10/2019,14.25
21/10/2019,14
22/10/2019,14.46
23/10/2019,14.01
24/10/2019,13.71
25/10/2019,12.65
28/10/2019,13.11
29/10/2019,13.2
30/10/2019,12.33
31/10/2019,13.22
01/11/2019,12.3
04/11/2019,12.83
05/11/2019,13.1
06/11/2019,12.62
07/11/2019,12.73
08/11/2019,12.07
11/11/2019,12.69
12/11/2019,12.68
13/11/2019,13
14/11/2019,13.05
15/11/2019,12.05
18/11/2019,12.46
19/11/2019,12.86
20/11/2019,12.78
21/11/2019,13.13
22/11/2019,12.34
25/11/2019,11.87
26/11/2019,11.54
27/11/2019,11.75
28/11/2019,.
29/11/2019,12.62
02/12/2019,14.91
03/12/2019,15.96
04/12/2019,14.8
05/12/2019,14.52
06/12/2019,13.62
09/12/2019,15.86
10/12/2019,15.68
11/12/2019,14.99
12/12/2019,13.94
13/12/2019,12.63
16/12/2019,12.14
17/12/2019,12.29
18/12/2019,12.58
19/12/2019,12.5
20/12/2019,12.51
23/12/2019,12.61
24/12/2019,12.67
25/12/2019,.
26/12/2019,12.65
27/12/2019,13.43
30/12/2019,14.82
31/12/2019,13.78
01/01/2020,.
02/01/2020,12.47
03/01/2020,14.02
06/01/2020,13.85
07/01/2020,13.79
08/01/2020,13.45
09/01/2020,12.54
10/01/2020,12.56
13/01/2020,12.32
14/01/2020,12.39
15/01/2020,12.42
16/01/2020,12.32
17/01/2020,12.1
20/01/2020,.
21/01/2020,12.85
22/01/2020,12.91
23/01/2020,12.98
24/01/2020,14.56
27/01/2020,18.23
28/01/2020,16.28
29/01/2020,16.39
30/01/2020,15.49
31/01/2020,18.84
03/02/2020,17.97
04/02/2020,16.05
05/02/2020,15.15
06/02/2020,14.96
07/02/2020,15.47
10/02/2020,15.04
11/02/2020,15.18
12/02/2020,13.74
13/02/2020,14.15
14/02/2020,13.68
17/02/2020,.
18/02/2020,14.83
19/02/2020,14.38
20/02/2020,15.56
21/02/2020,17.08
24/02/2020,25.03
25/02/2020,27.85
26/02/2020,27.56
27/02/2020,39.16
28/02/2020,40.11
02/03/2020,33.42
03/03/2020,36.82
04/03/2020,31.99
05/03/2020,39.62
06/03/2020,41.94
09/03/2020,54.46
10/03/2020,47.3
11/03/2020,53.9
12/03/2020,75.47
13/03/2020,57.83
16/03/2020,82.69
17/03/2020,75.91
18/03/2020,76.45
19/03/2020,72
20/03/2020,66.04
23/03/2020,61.59
24/03/2020,61.67
25/03/2020,63.95
26/03/2020,61
27/03/2020,65.54
30/03/2020,57.08
31/03/2020,53.54
01/04/2020,57.06
02/04/2020,50.91
03/04/2020,46.8
06/04/2020,45.24
07/04/2020,46.7
08/04/2020,43.35
09/04/2020,41.67
10/04/2020,.
13/04/2020,41.17
14/04/2020,37.76
15/04/2020,40.84
16/04/2020,40.11
17/04/2020,38.15
20/04/2020,43.83
21/04/2020,45.41
22/04/2020,41.98
23/04/2020,41.38
24/04/2020,35.93
27/04/2020,33.29
28/04/2020,33.57
29/04/2020,31.23
30/04/2020,34.15
01/05/2020,37.19
04/05/2020,35.97
05/05/2020,33.61
06/05/2020,34.12
07/05/2020,31.44
08/05/2020,27.98
11/05/2020,27.57
12/05/2020,33.04
13/05/2020,35.28
14/05/2020,32.61
15/05/2020,31.89
18/05/2020,29.3
19/05/2020,30.53
20/05/2020,27.99
21/05/2020,29.53
22/05/2020,28.16
25/05/2020,.
26/05/2020,28.01
27/05/2020,27.62
28/05/2020,28.59
29/05/2020,27.51
01/06/2020,28.23
02/06/2020,26.84
03/06/2020,25.66
04/06/2020,25.81
05/06/2020,24.52
08/06/2020,25.81
09/06/2020,27.57
10/06/2020,27.57
11/06/2020,40.79
12/06/2020,36.09
15/06/2020,34.4
16/06/2020,33.67
17/06/2020,33.47
18/06/2020,32.94
19/06/2020,35.12
22/06/2020,31.77
23/06/2020,31.37
24/06/2020,33.84
25/06/2020,32.22
26/06/2020,34.73
29/06/2020,31.78
30/06/2020,30.43
01/07/2020,28.62
02/07/2020,27.68
03/07/2020,.
06/07/2020,27.94
07/07/2020,29.43
08/07/2020,28.08
09/07/2020,29.26
10/07/2020,27.29
13/07/2020,32.19
14/07/2020,29.52
15/07/2020,27.76
16/07/2020,28
17/07/2020,25.68
20/07/2020,24.46
21/07/2020,24.84
