country,date,value
UK,01/01/1963,55.4
UK,01/04/1963,54.7
UK,01/07/1963,53.9
UK,01/10/1963,52.7
UK,01/01/1964,60
UK,01/04/1964,58.7
UK,01/07/1964,57.5
UK,01/10/1964,56.2
UK,01/01/1965,62.8
UK,01/04/1965,61.7
UK,01/07/1965,60.4
UK,01/10/1965,59.4
UK,01/01/1966,58.5
UK,01/04/1966,57.4
UK,01/07/1966,63.5
UK,01/10/1966,62.4
UK,01/01/1967,61.3
UK,01/04/1967,60.4
UK,01/07/1967,63.4
UK,01/10/1967,62.8
UK,01/01/1968,61.6
UK,01/04/1968,64.2
UK,01/07/1968,62.6
UK,01/10/1968,60.7
UK,01/01/1969,59.5
UK,01/04/1969,61.7
UK,01/07/1969,60.5
UK,01/10/1969,59.4
UK,01/01/1970,58
UK,01/04/1970,59.4
UK,01/07/1970,57.6
UK,01/10/1970,58.6
UK,01/01/1971,56.9
UK,01/04/1971,55.3
UK,01/07/1971,56.2
UK,01/10/1971,57.2
UK,01/01/1972,60.6
UK,01/04/1972,61.3
UK,01/07/1972,64.8
UK,01/10/1972,65.1
UK,01/01/1973,64.3
UK,01/04/1973,66.4
UK,01/07/1973,66
UK,01/10/1973,64
UK,01/01/1974,65.1
UK,01/04/1974,65
UK,01/07/1974,64.2
UK,01/10/1974,61.4
UK,01/01/1975,59.6
UK,01/04/1975,59.4
UK,01/07/1975,56.6
UK,01/10/1975,58
UK,01/01/1976,57.8
UK,01/04/1976,57.3
UK,01/07/1976,57.5
UK,01/10/1976,58.4
UK,01/01/1977,56.4
UK,01/04/1977,56.5
UK,01/07/1977,56
UK,01/10/1977,56.1
UK,01/01/1978,56
UK,01/04/1978,56.5
UK,01/07/1978,55.7
UK,01/10/1978,55.5
UK,01/01/1979,56.2
UK,01/04/1979,56.8
UK,01/07/1979,56.3
UK,01/10/1979,55.7
UK,01/01/1980,56.9
UK,01/04/1980,57.2
UK,01/07/1980,56.9
UK,01/10/1980,56.8
UK,01/01/1981,56.6
UK,01/04/1981,56.6
UK,01/07/1981,58.2
UK,01/10/1981,60.8
UK,01/01/1982,61.2
UK,01/04/1982,63.3
UK,01/07/1982,64.1
UK,01/10/1982,65.7
UK,01/01/1983,66.6
UK,01/04/1983,67.6
UK,01/07/1983,68
UK,01/10/1983,68.6
UK,01/01/1984,70.7
UK,01/04/1984,72.5
UK,01/07/1984,73.5
UK,01/10/1984,76.1
UK,01/01/1985,77.7
UK,01/04/1985,76.7
UK,01/07/1985,78.2
UK,01/10/1985,77.4
UK,01/01/1986,79.9
UK,01/04/1986,81.2
UK,01/07/1986,81.8
UK,01/10/1986,84.7
UK,01/01/1987,86.5
UK,01/04/1987,87.3
UK,01/07/1987,88.7
UK,01/10/1987,88.6
UK,01/01/1988,90.9
UK,01/04/1988,94.6
UK,01/07/1988,97.3
UK,01/10/1988,98.3
UK,01/01/1989,101.6
UK,01/04/1989,104.1
UK,01/07/1989,106.4
UK,01/10/1989,107.3
UK,01/01/1990,113
UK,01/04/1990,114.5
UK,01/07/1990,114.3
UK,01/10/1990,115.3
UK,01/01/1991,116.5
UK,01/04/1991,118.8
UK,01/07/1991,118.6
UK,01/10/1991,115.8
UK,01/01/1992,116.4
UK,01/04/1992,115.4
UK,01/07/1992,115.4
UK,01/10/1992,117.8
UK,01/01/1993,116.8
UK,01/04/1993,117
UK,01/07/1993,117.4
UK,01/10/1993,118.9
UK,01/01/1994,117.4
UK,01/04/1994,114.2
UK,01/07/1994,113.7
UK,01/10/1994,113.6
UK,01/01/1995,113.3
UK,01/04/1995,113.3
UK,01/07/1995,113.3
UK,01/10/1995,115.9
UK,01/01/1996,114.6
UK,01/04/1996,116
UK,01/07/1996,115.2
UK,01/10/1996,114.8
UK,01/01/1997,107.9
UK,01/04/1997,109.7
UK,01/07/1997,111.9
UK,01/10/1997,112.1
UK,01/01/1998,114
UK,01/04/1998,115.7
UK,01/07/1998,119.4
UK,01/10/1998,120
UK,01/01/1999,122.1
UK,01/04/1999,124.8
UK,01/07/1999,125.8
UK,01/10/1999,128.2
UK,01/01/2000,130.1
UK,01/04/2000,133.5
UK,01/07/2000,135.1
UK,01/10/2000,135.6
UK,01/01/2001,139.2
UK,01/04/2001,140.1
UK,01/07/2001,141.7
UK,01/10/2001,144.2
UK,01/01/2002,146.1
UK,01/04/2002,148.7
UK,01/07/2002,153.8
UK,01/10/2002,153.8
UK,01/01/2003,151.3
UK,01/04/2003,153.7
UK,01/07/2003,154.2
UK,01/10/2003,154
UK,01/01/2004,153.8
UK,01/04/2004,154.1
UK,01/07/2004,156.6
UK,01/10/2004,157.9
UK,01/01/2005,158.7
UK,01/04/2005,162.4
UK,01/07/2005,164.5
UK,01/10/2005,165.5
UK,01/01/2006,166.3
UK,01/04/2006,168.7
UK,01/07/2006,172
UK,01/10/2006,171.9
UK,01/01/2007,170.1
UK,01/04/2007,171
UK,01/07/2007,174.1
UK,01/10/2007,175.6
UK,01/01/2008,178.6
UK,01/04/2008,178.1
UK,01/07/2008,179.1
UK,01/10/2008,185.7
UK,01/01/2009,186
UK,01/04/2009,182.4
UK,01/07/2009,185.7
UK,01/10/2009,185.4
UK,01/01/2010,186.6
UK,01/04/2010,182.6
UK,01/07/2010,182.3
UK,01/10/2010,177.7
UK,01/01/2011,176.2
UK,01/04/2011,175.7
UK,01/07/2011,174.6
UK,01/10/2011,172.9
UK,01/01/2012,175.2
UK,01/04/2012,176.3
UK,01/07/2012,176.1
UK,01/10/2012,173.7
UK,01/01/2013,171.2
UK,01/04/2013,172.2
UK,01/07/2013,169.6
UK,01/10/2013,166.8
UK,01/01/2014,163.6
