SDR_Valuations,Currency,US_Dollar equivalent
02/01/1981,U.K. pound,0.1688
05/01/1981,U.K. pound,0.1705
06/01/1981,U.K. pound,0.1722
07/01/1981,U.K. pound,0.1719
08/01/1981,U.K. pound,0.1706
09/01/1981,U.K. pound,0.1705
12/01/1981,U.K. pound,0.1706
13/01/1981,U.K. pound,0.1695
14/01/1981,U.K. pound,0.1700
15/01/1981,U.K. pound,0.1703
16/01/1981,U.K. pound,0.1704
19/01/1981,U.K. pound,0.1715
20/01/1981,U.K. pound,0.1712
21/01/1981,U.K. pound,0.1722
22/01/1981,U.K. pound,0.1717
23/01/1981,U.K. pound,0.1708
26/01/1981,U.K. pound,0.1707
27/01/1981,U.K. pound,0.1714
28/01/1981,U.K. pound,0.1708
29/01/1981,U.K. pound,0.1705
30/01/1981,U.K. pound,0.1694
02/02/1981,U.K. pound,0.1676
03/02/1981,U.K. pound,0.1659
04/02/1981,U.K. pound,0.1670
05/02/1981,U.K. pound,0.1673
06/02/1981,U.K. pound,0.1659
09/02/1981,U.K. pound,0.1660
10/02/1981,U.K. pound,0.1661
11/02/1981,U.K. pound,0.1658
12/02/1981,U.K. pound,0.1650
13/02/1981,U.K. pound,0.1634
16/02/1981,U.K. pound,0.1598
17/02/1981,U.K. pound,0.1611
18/02/1981,U.K. pound,0.1613
19/02/1981,U.K. pound,0.1612
20/02/1981,U.K. pound,0.1640
23/02/1981,U.K. pound,0.1609
24/02/1981,U.K. pound,0.1593
25/02/1981,U.K. pound,0.1584
26/02/1981,U.K. pound,0.1579
27/02/1981,U.K. pound,0.1565
02/03/1981,U.K. pound,0.1546
03/03/1981,U.K. pound,0.1549
04/03/1981,U.K. pound,0.1573
05/03/1981,U.K. pound,0.1561
06/03/1981,U.K. pound,0.1551
09/03/1981,U.K. pound,0.1551
10/03/1981,U.K. pound,0.1570
11/03/1981,U.K. pound,0.1579
12/03/1981,U.K. pound,0.1573
13/03/1981,U.K. pound,0.1573
16/03/1981,U.K. pound,0.1585
17/03/1981,U.K. pound,0.1601
18/03/1981,U.K. pound,0.1612
19/03/1981,U.K. pound,0.1615
20/03/1981,U.K. pound,0.1609
23/03/1981,U.K. pound,0.1594
24/03/1981,U.K. pound,0.1602
25/03/1981,U.K. pound,0.1607
26/03/1981,U.K. pound,0.1602
27/03/1981,U.K. pound,0.1587
30/03/1981,U.K. pound,0.1590
31/03/1981,U.K. pound,0.1593
01/04/1981,U.K. pound,0.1592
02/04/1981,U.K. pound,0.1588
03/04/1981,U.K. pound,0.1569
06/04/1981,U.K. pound,0.1541
07/04/1981,U.K. pound,0.1547
08/04/1981,U.K. pound,0.1565
09/04/1981,U.K. pound,0.1557
10/04/1981,U.K. pound,0.1554
13/04/1981,U.K. pound,0.1532
14/04/1981,U.K. pound,0.1544
15/04/1981,U.K. pound,0.1537
16/04/1981,U.K. pound,0.1531
17/04/1981,U.K. pound,0.1530
20/04/1981,U.K. pound,0.1533
21/04/1981,U.K. pound,0.1532
22/04/1981,U.K. pound,0.1542
23/04/1981,U.K. pound,0.1548
24/04/1981,U.K. pound,0.1539
27/04/1981,U.K. pound,0.1539
28/04/1981,U.K. pound,0.1531
29/04/1981,U.K. pound,0.1521
30/04/1981,U.K. pound,0.1520
01/05/1981,U.K. pound,0.1520
04/05/1981,U.K. pound,0.1504
05/05/1981,U.K. pound,0.1500
06/05/1981,U.K. pound,0.1504
07/05/1981,U.K. pound,0.1499
08/05/1981,U.K. pound,0.1502
11/05/1981,U.K. pound,0.1497
12/05/1981,U.K. pound,0.1487
13/05/1981,U.K. pound,0.1486
14/05/1981,U.K. pound,0.1468
15/05/1981,U.K. pound,0.1475
18/05/1981,U.K. pound,0.1487
19/05/1981,U.K. pound,0.1485
20/05/1981,U.K. pound,0.1484
21/05/1981,U.K. pound,0.1476
