Coupon (%),Maturity,Price
6.00,07/12/2028,114.49
,,
5.00,07/03/2025,103.83
,,
4.75,07/12/2030,111.68
,,
4.75,07/12/2038,115.485
,,
4.50,07/12/2042,114.665
,,
4.50,07/09/2034,111.96
,,
4.25,07/12/2049,113.86
,,
4.25,07/12/2046,112.35
,,
4.25,07/12/2027,104.3
,,
4.25,07/09/2039,109.3
,,
4.25,07/12/2055,118.49
,,
4.25,07/03/2036,109.13
,,
4.25,07/12/2040,109.96
,,
4.25,07/06/2032,109.315
,,
4.13,29/01/2027,102.88
,,
4.00,22/01/2060,117.15
,,
3.75,22/07/2052,106.665
,,
3.50,22/01/2045,99.925
,,
3.50,22/07/2068,109.725
,,
3.25,22/01/2044,95.95
,,
2.75,07/09/2024,99.03
,,
2.50,22/07/2065,86.365
,,
2.50,17/07/2024,377.64
,,
2.25,07/09/2023,99.17
,,
2.00,07/09/2025,97.05
,,
2.00,26/01/2035,254.75
,,
1.75,07/09/2037,80.27
,,
1.75,22/01/2049,71.37
,,
1.75,22/07/2057,69.805
,,
1.63,22/10/2028,91.69
,,
1.63,22/10/2071,66.135
,,
1.50,22/07/2026,94.31
,,
1.50,22/07/2047,67.665
,,
1.25,31/07/2051,61.14
,,
1.25,22/10/2041,69.78
,,
1.25,22/07/2027,91.58
,,
1.00,22/04/2024,97.05
,,
0.88,31/07/2033,78.53
,,
0.88,22/10/2029,85.98
,,
0.75,22/07/2023,98.56
,,
0.63,31/07/2035,71.9
,,
0.63,22/10/2050,50.965
,,
0.50,22/10/2061,42.96
,,
0.50,31/01/2029,84.77
,,
0.38,22/10/2026,89.67
,,
0.38,22/10/2030,80.77
,,
0.25,31/07/2031,78.135
,,
0.25,31/01/2025,93.495
,,
0.13,22/03/2051,100.57
,,
0.13,10/08/2031,106.775
,,
0.13,31/01/2024,96.47
,,
0.13,31/01/2028,85.36
,,
0.13,22/03/2073,118.89
,,
0.13,22/03/2039,102.98
,,
0.13,30/01/2026,91.11
,,
0.13,31/01/2023,99.55
,,
0.00,07/03/2025,92.8
,,
0.00,07/12/2029,82.372
,,
0.00,07/12/2027,84.4
,,
0.00,07/09/2034,74.1
,,
